"FileName","FilePath","ApplicationName","Publisher","FileDescription","FileVersion","SHA256Hash","MD5Hash","LastWriteTime","LengthMB","Status"
"7z.exe","C:\Program Files\7-Zip\7z.exe","7-Zip","Igor Pavlov","7-Zip Console","25.00","634D38C0C414178E2F35DE5CC0FB29AA082EEC227E630C4481E1AF7694980AC9","458AC4303ED2D39C13C533BF779493A9","7/5/2025 4:00:00 PM","0.54","Processed"
"7zFM.exe","C:\Program Files\7-Zip\7zFM.exe","7-Zip","Igor Pavlov","7-Zip File Manager","25.00","2E030AA5CDF7C562C0ACC516E43265D031EC41F448F972D2C3882E9208AA3EB8","24C1B671B5421BA793D881E5BA6732B1","7/5/2025 4:00:00 PM","0.95","Processed"
"7zG.exe","C:\Program Files\7-Zip\7zG.exe","7-Zip","Igor Pavlov","7-Zip GUI","25.00","7B5EDA73C21960C451EA3148900B28CDBAC7180E43047FBC944028096E497C08","8BF6A5D08A05062EA3DB094C0025B1C5","7/5/2025 4:00:00 PM","0.69","Processed"
"AcroCEF.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\AcroCEF\AcroCEF.exe","","Adobe Systems Incorporated","Adobe AcroCEF","25.1.20531.0","7A6AEB7B409B31DE73FF67BC3FA3429CC73B733A57117C6C4030BFDA5B4FE4BF","723B0D6255D7D255AA51FF6DCEE7DE7B","6/6/2025 8:14:40 AM","3.53","Processed"
"AcroServicesUpdater.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\AcroCEF\AcroServicesUpdater.exe","","Adobe Systems Incorporated","Adobe WebInstaller 25.1","25.1.20531.0","D68C02CD6B12CD800E871A4E8D62F0782A1549BE41A72676BDE03BC13FDEB630","8EE6B740AA3BBE3BD4FF6763FC78D5CE","6/6/2025 8:14:40 AM","225.25","Processed"
"SingleClientServicesUpdater.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\AcroCEF\SingleClientServicesUpdater.exe","","Adobe Systems Incorporated","Adobe WebInstaller 25.1","25.1.20531.0","64457962754D19170DFB4D4866425C316807CCF2F45784F44AD65C7907230592","39E727E1FB161F093932858783B763D9","6/6/2025 8:14:40 AM","228.77","Processed"
"AcroCEF.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroCEF.exe","","Adobe Systems Incorporated","Adobe AcroCEF","25.1.20531.0","7A6AEB7B409B31DE73FF67BC3FA3429CC73B733A57117C6C4030BFDA5B4FE4BF","723B0D6255D7D255AA51FF6DCEE7DE7B","6/6/2025 8:14:40 AM","3.53","Processed"
"AcroServicesUpdater.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroServicesUpdater.exe","","Adobe Systems Incorporated","Adobe WebInstaller 25.1","25.1.20531.0","D68C02CD6B12CD800E871A4E8D62F0782A1549BE41A72676BDE03BC13FDEB630","8EE6B740AA3BBE3BD4FF6763FC78D5CE","6/6/2025 8:14:40 AM","225.25","Processed"
"SingleClientServicesUpdater.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\SingleClientServicesUpdater.exe","","Adobe Systems Incorporated","Adobe WebInstaller 25.1","25.1.20531.0","64457962754D19170DFB4D4866425C316807CCF2F45784F44AD65C7907230592","39E727E1FB161F093932858783B763D9","6/6/2025 8:14:40 AM","228.77","Processed"
"FullTrustNotifier.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\ADCNotificationClient\FullTrustNotifier.exe",,,,,"168FAB3C871E7403B1CE6AA64C9A8F023DE20AC928FF44A2DB37C0747E9DD144","1967353E8B0FF8D602A649DDEE04216A","2/1/2021 9:49:20 PM","0.21","Processed"
